ID	ALIGNMENT	COGID	CONCEPT	DOCULECT	FORM	SPANISH	TOKENS	VALUE	MORPHEMES	COGIDS	NOTES	AUTOCOGIDS
1	n ɨ i ʃ	20	animal	Matses	nɨiʃ	animal	n ɨ i ʃ	nɨiʃ	delicious	1543		56
2	n ɨ i ʃ	20	animal	Matis	nɨiʃ	animal	n ɨ i ʃ	nɨiʃ	delicious	1543		56
3	j u + - i n - - i	24	animal	Marubo	juini	animal	j u + i n i	juini	_thing domesticated	1544 1545		51 52
4	j u + - i n - - a	24	animal	Shipibo_Konibo	yuina	animal	j u + i n a	yuina	_thing domesticated	1544 1545		51 52
5	j u + - i n - - a	24	animal	Kapanawa	yuina	animal	j u + i n a	yuina	_thing domesticated	1544 1545		51 52
6	d i w ʃ ĩ	15	animal	Arara	diwʃĩ	animal	d i w ʃ ĩ	diwʃĩ	animal	1546		0
7	j u + - i n - - a	24	animal	Shanenawa	juina	animal	j u + i n a	juina	_thing domesticated	1544 1545		51 52
8	j u + - i n - - a	24	animal	Yawanawa	juina	animal	j u + i n a	juina	_thing domesticated	1544 1545		51 52
9	- i n - - ũ	21	animal	Nukini	inũ	animal	i n ũ	inũ	domesticated	1545		52
10	i/j ũ + - ĩ d - - a	24	animal	Poyanawa	iũĩda	animal	i/j ũ + ĩ d a	iũĩda	_thing domesticated	1544 1545		59 52
11	j u + j n - - a	24	animal	Iskonawa	jujna	animal	j u + j n a	jujna	_thing domesticated	1544 1545		51 53
12	j u + ʔ i n - - a	24	animal	Chakobo	yuʔina	animal	j u + ʔ i n a	yu?ina	_thing domesticated	1544 1545		51 52
13	ɲ u + - i n - - a	24	animal	Kakataibo	ɲuina	animal	ɲ u + i n a	ɲuina	_thing domesticated	1544 1545		54 52
14	ʂ u i	17	animal	Kaxarari	ʂui	animal	ʂ u i	ʂui	grill	1547		55
15	j u + j n - - a	24	animal	Mastanawa	jujna	animal	j u + j n a	jujna	_thing domesticated	1544 1545		51 53
16	j u + - i d - - a	24	animal	Chaninawa	juida	animal	j u + i d a	juida	_thing domesticated	1544 1545		51 52
17	j u + - i d - - a	24	animal	Sharanawa	juida	animal	j u + i d a	juida	_thing domesticated	1544 1545		51 52
18	j u + ʔ i n - - a	24	animal	Amawaka	juʔina	animal	j u + ʔ i n a	juʔina	_thing domesticated	1544 1545		51 52
19	d i + b ɨ ɾ a	22	animal	Nawa	di bɨɾaɸɨhjati	animal	d i + b ɨ ɾ a	di bɨɾaɸɨhjati	forest find	22 0		57 58
20	j u + - i ⁿd - - a	24	animal	Marinawa	juinda	animal	j u + i ⁿd a	juinda	_thing domesticated	1544 1545		51 52
21	i s u	19	animal	Yaminawa	isu	animal	i s u	isu	monkey.sp	1548		60
22	j u + j/i n a + k a	24	animal	Kashinawa_P	jujnaka	animal	j u + j/i n a + k a	jujnaka	_thing domesticated	1544 1545		51 53
23	j u + i n a + k a	24	animal	Kashinawa_B	yuinaka	animal	j u + i n a + k a	yuinaka	_thing domesticated	1544 1545		51 52
24	ts a j a + k a t a	25	animal	Araona	tsajakata	animal	ts a j a + k a t a	tsajakata		7 8		0
25	s i tʃ a i + k a n a	18	animal	Araona	sichaikana	animal	s i tʃ a i + k a n a	sichaikana		5 6		0
26	t e n a i + k a n a	18	animal	Araona	tenaikana	animal	t e n a i + k a n a	tenaikana		9 10		0
27	w a e n - i k a n a	18	animal	Araona	waenikana	animal	w a e n i k a n a	waenikana		14		0
28	- a - n - i m a l u	1546	animal	Tacana	animalu	animal	a n i m a l u	animalu		12	borrowing	0
29	uː	24	animal	Cavinena	uu	animal	uː	uu		4		0
30	c u a n u b i	5	animal	Cavinena	cuanubi	animal	c u a n u b i	cuanubi		11		0
31	i dʒː i a c a dʒː i	23	animal	Ese_ejja	ijjiacajji	animal	i dʒː i a c a dʒː i	ijjiacajji		13		0
32	o p a	164	dog	Matses	opa	perro	o p a	opa	dog			734
33	w a p a	164	dog	Matis	wapa	perro	w a p a	wapa	dog			739
34	w a p a	164	dog	Marubo	wapa	perro	w a p a	wapa	owl.sp			739
35	k a m a n	261	dog	Katukina	kaman	perro	k a m a n	kaman	wild_dog			734
36	u tʃ i + t i	270	dog	Shipibo_Konibo	utʃiti	perro	u tʃ i + t i	utʃiti	dog/utʃiti			736
37	u tʃ - - i + t i	270	dog	Kapanawa	utʃiti	perro	u tʃ i + t i	utʃiti	dog		!	736 737
38	k a m ã -	261	dog	Arara	kamã	perro	k a + m ã	kamã	wild dog			0
39	k a m a n	261	dog	Shanenawa	kaman	perro	k a m a n	kaman	wild_dog			734
40	k a m a n	261	dog	Yawanawa	kaman	perro	k a m a n	kaman	wild_dog			734
41	t a p a s + i n u	262	dog	Nukini	tapainu	perro	t a p a s + i n u	tapainu	house jaguar	4 11		742 743
42	u tʃ i + t i	270	dog	Poyanawa	utʃiti	perro	u tʃ i + t i	utʃiti	dog/utʃiti			736
43	p i ɾ u	269	dog	Iskonawa	piɾu	perro	p i ɾ u	piɾu	dog			735
44	i n a + k a	268	dog	Chakobo	inaka	perro	i n a + k a	inaka	domestic_animal			733
45	k a m o n	261	dog	Kakataibo	kamon	perro	k a m o n	kamon	wild_dog			734
